STATION;SONDE;DateTime;Latitude;Longitude;Course;Speed;Altitude;Description
HALCS2-14;U3524626;2022-10-31 13:15:27;47.2145;20.1225;308;9;186;Clb=-13.4m/s p=1004.3hPa t=10.8C 403.20MHz Type=RS41-SGP TxOff=8h02m batt=2.6V Details on http://radiosondy.info
TFDHU2-14;U3524626;2022-10-31 13:15:24;47.2145;20.1226;288;9;225;Clb=-15.1m/s p=999.4hPa t=10.5C 403.20MHz Type=RS41-SGP Details on http://radiosondy.info
HALCS2-14;U3524626;2022-10-31 13:15:21;47.2145;20.1226;325;9;264;Clb=-14.7m/s p=994.8hPa t=10.3C 403.20MHz Type=RS41-SGP Details on http://radiosondy.info
TFDHU2-14;U3524626;2022-10-31 13:15:18;47.2144;20.1227;303;6;306;Clb=-15.1m/s p=990.4hPa t=10.1C 403.20MHz Type=RS41-SGP Details on http://radiosondy.info
HALCS2-14;U3524626;2022-10-31 13:15:15;47.2144;20.1227;266;6;347;Clb=-14.8m/s p=985.3hPa t=9.9C 403.20MHz Type=RS41-SGP Details on http://radiosondy.info
TFDHU2-14;U3524626;2022-10-31 13:15:12;47.2144;20.1228;320;4;389;Clb=-14.0m/s p=980.6hPa t=9.7C 403.20MHz Type=RS41-SGP batt=2.6V Details on http://radiosondy.info
HALCS2-14;U3524626;2022-10-31 13:15:09;47.2144;20.1228;303;4;429;Clb=-13.8m/s p=975.9hPa t=9.4C 403.20MHz Type=RS41-SGP batt=2.6V Details on http://radiosondy.info
TFDHU2-14;U3524626;2022-10-31 13:15:06;47.2144;20.1228;34;2;469;Clb=-14.0m/s p=971.2hPa t=9.2C 403.20MHz Type=RS41-SGP Details on http://radiosondy.info
HALCS2-14;U3524626;2022-10-31 13:15:03;47.2143;20.1228;339;2;507;Clb=-12.4m/s p=966.7hPa t=9.0C 403.20MHz Type=RS41-SGP Details on http://radiosondy.info
TFDHU2-14;U3524626;2022-10-31 13:15:00;47.2143;20.1228;211;2;546;Clb=-14.2m/s p=962.1hPa t=8.8C 403.20MHz Type=RS41-SGP Details on http://radiosondy.info
HALCS2-14;U3524626;2022-10-31 13:14:57;47.2143;20.1228;18;2;584;Clb=-12.3m/s p=957.5hPa t=8.6C 403.20MHz Type=RS41-SGP Details on http://radiosondy.info
TFDHU2-14;U3524626;2022-10-31 13:14:54;47.2143;20.1228;284;6;619;Clb=-13.2m/s p=953.3hPa t=8.3C 403.20MHz Type=RS41-SGP TxOff=8h03m batt=2.6V Details on http://radiosondy.info
HALCS2-14;U3524626;2022-10-31 13:14:51;47.2143;20.1229;286;7;657;Clb=-13.3m/s p=948.8hPa t=10.0C h=88.1% 403.20MHz Type=RS41-SGP batt=2.6V Details on http://radiosondy.info
TFDHU2-14;U3524626;2022-10-31 13:14:48;47.2143;20.1229;266;6;693;Clb=-13.5m/s p=944.8hPa t=13.3C h=75.9% 403.20MHz Type=RS41-SGP Details on http://radiosondy.info
HALCS2-14;U3524626;2022-10-31 13:14:45;47.2143;20.123;226;7;729;Clb=-13.8m/s p=940.9hPa t=13.4C h=73.7% 403.20MHz Type=RS41-SGP Details on http://radiosondy.info
TFDHU2-14;U3524626;2022-10-31 13:14:42;47.2144;20.123;142;13;767;Clb=-13.2m/s p=936.4hPa t=14.3C h=67.7% 403.20MHz Type=RS41-SGP Details on http://radiosondy.info
HALCS2-14;U3524626;2022-10-31 13:14:39;47.2145;20.1229;125;17;805;Clb=-14.2m/s p=932.3hPa t=16.8C h=57.4% 403.20MHz Type=RS41-SGP Details on http://radiosondy.info
TFDHU2-14;U3524626;2022-10-31 13:14:36;47.2145;20.1227;134;22;844;Clb=-13.5m/s p=928.0hPa t=17.8C h=43.5% 403.20MHz Type=RS41-SGP batt=2.6V Details on http://radiosondy.info
HALCS2-14;U3524626;2022-10-31 13:14:33;47.2146;20.1225;129;24;884;Clb=-14.4m/s p=923.8hPa t=18.7C h=37.5% 403.20MHz Type=RS41-SGP TxOff=8h03m batt=2.6V Details on http://radiosondy.info
TFDHU2-14;U3524626;2022-10-31 13:14:30;47.2147;20.1223;113;22;924;Clb=-14.3m/s p=919.5hPa t=18.6C h=37.6% 403.20MHz Type=RS41-SGP Details on http://radiosondy.info
HALCS2-14;U3524626;2022-10-31 13:14:27;47.2148;20.1221;122;24;963;Clb=-12.8m/s p=915.4hPa t=19.0C h=38.5% 403.20MHz Type=RS41-SGP Details on http://radiosondy.info
